Hour,BE,DE,DK,ES,FI,FR,GR,HR,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,UK
2878,3213.6248181364426,5790.241669916293,6157.189109692655,1879.1364827166828,945.5386734890736,2446.267436276391,793.2052401106297,242.18993775131455,4428.236211041899,2345.124139282809,17.26622687235096,74.87463152804015,4511.6880738419395,150.742010053896,161.6094881363553,1005.8333872858576,728.0379019608317,334.0777771125034,27727.891337603334
2879,3648.457531746989,4924.182419816189,5772.573484303519,1899.5410687629803,943.455142262638,2174.263429308111,504.53482300514924,230.56491554200346,4422.40039203336,1976.2353008429343,16.97671532046742,83.89647416396,4320.713148702978,59.17910968018578,428.39055456812156,1078.9699003887968,890.7980995373636,429.90113395247226,28063.845529520742
2880,3888.3602348791574,5222.665966499415,5581.343266176308,2005.4473489348081,948.1502500097629,2186.1087729949763,540.5021421598937,191.4820699847236,4231.496244185863,1847.3550085112981,58.68209701183998,160.04939762097888,6541.598622206438,74.18736066302012,521.732396577269,1110.6872380020634,922.9146577898197,416.6480711697481,30822.15970040443
2881,3955.0206222748398,5493.27871681241,5426.049316001893,1999.6352099090957,946.3519934818546,2212.2648263757883,588.8546269033532,145.9344934457272,3891.3901953545073,1631.8828888574294,70.54958470785289,212.4786119216569,9971.110638881308,57.66672411706402,755.1145621293258,1121.351169649659,921.3865264096868,425.19167997075084,33806.795105416146
2882,4026.2857809232246,6050.289517271817,5200.504165776901,1948.9959760453612,915.7756613325512,2328.5390818416167,664.5609560957836,92.66678869408634,3665.50522847773,1552.8284553835347,74.5874439610209,201.28428706107124,12374.695078854285,70.61808037900325,899.3904762587252,1073.7907083060695,919.4189044175904,442.4746306111856,36294.52306445677
2883,3974.3432275482496,6682.807288358502,5081.107411114885,1931.4845730165196,786.5638822165919,2407.9450811449046,781.0688833638151,55.621652600374375,3327.7530266432404,1445.0845493875372,128.10609195444522,175.35470795182485,13327.844549077094,145.84855633964645,829.7807018671213,1009.4746512710842,929.0220910601707,438.8954235677471,37714.912954373016
2884,4438.768274272508,8068.277315306216,5071.629649389031,1881.8211873523726,669.0518075773413,2359.4381378288554,849.528529970847,33.78488507039275,2624.354284331238,1376.0314511265785,169.58031603331924,146.58501921307254,14520.763861132942,282.37739169952596,594.977293664156,969.0738687033967,937.8136619823521,417.791348291542,39799.116381024854
2885,4666.7152473992855,10276.259260463701,4998.279047064966,1822.9400757584135,548.1140750766299,2158.1048109039825,869.5461847054032,26.300801034511146,2730.2067248262424,1331.89462111007,189.8735408210008,132.6088927571639,15016.317498022952,505.5020120693822,451.2841898622752,967.3957609887673,942.5618784895006,373.68617458929566,40716.681997692634
2886,4714.685141289367,12169.666884051167,4799.775147887381,1774.27565218701,463.984569487072,1844.509373927006,908.5156623242688,30.85738285513939,2838.009992127407,1171.8711929710362,201.54756529450702,147.75726004325665,15315.532306976194,744.2774941204042,448.2194838402033,983.4842350643643,945.9565857838472,319.32261840374457,41230.457359228596
2887,5003.9521959226795,17237.95035120947,4454.62132351006,1731.6812296452445,465.30329066624085,1688.9522908957,901.9942383818885,38.81349825290936,2565.4980715847,999.851734364599,258.9239848983273,172.76921695763662,15650.711830232347,1010.7984619705767,592.6845189286921,1020.2426090271954,948.6537068254328,278.17310370037404,41234.70095680705
2888,5143.0885307277085,21716.61136839469,4091.514323816509,1700.2647800922784,490.937397623798,1597.9761842561954,868.7621693068221,46.41715492763702,2481.243602950977,910.922413901396,413.8629807196209,208.71497009029724,15618.05773164047,1064.1051875814292,814.1238836610502,880.3094837231779,949.3605006467357,258.3150045940593,41389.710011126685
2889,5028.891194545105,25213.32890349695,3894.915933013154,1686.89570310553,470.01703340787793,1397.888210325684,859.9161633812192,57.08840150050105,2288.281153112212,963.8325309055348,530.995778250284,220.99534025905945,15514.468180854146,875.3802082612857,1013.6557136892885,733.2376206221181,948.981443023134,196.79713017478053,41471.0718491994
2890,4837.820010190504,27043.565539566636,3600.0565310325615,1681.6551983673207,416.25787461909243,1079.2569511506113,830.2560187369188,65.89204406477785,2343.8125931180975,1026.0977137897958,548.7824406628168,195.65691036170475,15556.591982328007,770.4469150158544,1185.0159565777458,654.4865320707244,947.493215108976,138.2310260161767,40908.71896205293
2891,4005.484857627997,27459.852626017808,3931.9988868914247,1623.3480679343431,333.1931042387774,832.838027547808,923.8664440294968,68.78675137568948,2447.7111032576436,810.9675374387714,328.41946580140393,106.26284520009455,15353.87424078447,1005.9156824259071,877.2036504370612,697.0938781648168,943.7662834456384,127.42734870790127,38985.09425767378
2892,3139.5266703970656,26582.712054788215,3924.4125117153135,1614.7978964543577,277.22707362850764,773.9437973917529,869.5170170376203,75.617082392654,2670.666973988376,714.4672789208151,248.4466072777738,59.77602974308615,15163.97736359889,1017.7389925628024,975.0954467852448,641.1043007371882,944.1454969559808,121.15266335433246,35833.31073972148
2893,2482.5596348659315,26645.811796846807,3648.6423881813944,1610.6509198290364,205.18369559425238,787.5258282626112,829.7981524041123,64.62212057261756,3053.1448037892465,734.1195015029131,187.05892872812393,26.37140188728365,14975.762448582864,952.0330535578331,975.7729174421175,598.3287803219938,946.3356866775698,116.71117003336782,33593.927479591315
2894,2089.4301808666924,26870.274090627376,3611.7168872180864,1574.3273915387388,162.0722530409667,952.4041229558977,783.0894157441319,55.382746079608935,2793.613583788366,813.982714239593,127.34328612773461,9.506590657800599,14828.31005141421,829.8609375340666,1312.9506847047935,575.9371434862176,948.4101807290548,113.6348519542266,32064.85343513241
2895,2023.6100495697744,26658.9655099293,3941.929279782008,1544.008341512736,133.5824262174757,1292.8036899116423,727.0043090192395,41.10723253430246,2586.8557071806167,923.0559792445819,65.55484893881882,1.74428202040595,14764.811101505056,691.8522140659303,1654.6252606662115,588.0395861086264,949.5529295618365,108.01595323618032,32871.88862278112
